stage,group,team_a,team_b,p_a_win,p_draw,p_b_win,expected_goals_a,expected_goals_b,projected_winner
group,H,Spain,Uruguay,0.5899522370704149,0.23688116248365354,0.17316660044593168,1.7965566018478383,0.7572380139513752,Spain
group,H,Cabo Verde,Saudi Arabia,0.37250600393614325,0.29881409612724935,0.32867989993660734,1.1869773271575048,1.143605844204309,Cabo Verde
group,H,Cabo Verde,Uruguay,0.20716969249855693,0.27319233384822406,0.519637973653219,0.8502808880977708,1.5581021320252153,Uruguay
group,H,Saudi Arabia,Uruguay,0.23976919839987104,0.28170488746708633,0.4785259141330427,0.9461284894467017,1.5088873562050582,Uruguay
group,I,France,Senegal,0.4739071048813952,0.2704507652717924,0.2556421298468124,1.5555382175965806,0.9920545773628668,France
group,I,France,Iraq,0.6185503532198429,0.22094151902801,0.16050812775214718,2.007817964564503,0.8058452499016617,France
group,I,France,Norway,0.4619295485850959,0.2653868799211976,0.2726835714937067,1.5722934641574526,1.0569839707935822,France
group,I,Senegal,Iraq,0.4301382177209224,0.2927798389773991,0.27708194330167857,1.325799198735966,0.9691316510001879,Senegal
group,I,Senegal,Norway,0.39912308177170885,0.29190658114073886,0.30897033708755234,1.225748404110293,1.0914729085462709,Senegal
group,I,Iraq,Norway,0.2686207165658413,0.2797913217531415,0.4515879616810172,0.9843891888775486,1.4102930778653364,Norway
group,J,Argentina,Algeria,0.534154482595212,0.2559840283058499,0.20986148909893804,1.6698527054892616,0.8626396010987671,Argentina
group,J,Argentina,Austria,0.5752065183660967,0.24001482777689045,0.18477865385701284,1.7621199305498587,0.8018651629224862,Argentina
group,J,Argentina,Jordan,0.6758741860872433,0.19381905592443593,0.13030675798832086,2.1412031757565906,0.6828888869653399,Argentina
group,J,Algeria,Austria,0.324055448151482,0.2985664034965501,0.377378148351968,1.0999047813220615,1.1603862581247497,Austria
group,J,Algeria,Jordan,0.4292942509979133,0.28896385620480236,0.2817418927972844,1.334532172037524,0.9791809708475147,Algeria
group,J,Austria,Jordan,0.39707960197994074,0.2844832309820945,0.3184371670379649,1.2459356100679935,1.0286041427829724,Austria
group,K,Portugal,Congo DR,0.5309220489782855,0.26251700421216906,0.2065609468095455,1.5729618886253256,0.8266975843899722,Portugal
group,K,Portugal,Uzbekistan,0.46016446423877533,0.28186060502336907,0.25797493073785566,1.3861343270689461,0.9254543833568947,Portugal
group,K,Portugal,Colombia,0.3560139794884016,0.2921093130262102,0.3518767074853883,1.2479990203704197,1.175850203403821,Portugal
group,K,Congo DR,Uzbekistan,0.3283237733408208,0.3147830707842331,0.3568931558749461,0.9682112901163791,1.065847333611347,Uzbekistan
group,K,Congo DR,Colombia,0.23829950861828877,0.28516889286577,0.4765315985159411,0.8713374036311123,1.3837403650734001,Colombia
group,K,Uzbekistan,Colombia,0.302385368428413,0.301930150363503,0.3956844812080841,0.9906374831926495,1.2046416273106992,Colombia
group,L,England,Croatia,0.39010746431343163,0.2874103353786749,0.3224822003078936,1.3579838154765593,1.1485564491134246,England
group,L,England,Ghana,0.7223337205700667,0.1725451952316001,0.10512108419833323,2.501949581709807,0.6381226205168976,England
group,L,England,Panama,0.5172491673432682,0.2713270570456898,0.21142377561104184,1.5501065946631658,0.846315641134514,England
group,L,Croatia,Ghana,0.6443732037561636,0.20985652967280422,0.1457702665710322,2.261313002298731,0.8200668187376586,Croatia
group,L,Croatia,Panama,0.42325232430290133,0.28234384831724085,0.2944038273798577,1.416920077169991,1.0926975096655889,Croatia
group,L,Ghana,Panama,0.24069291764984752,0.2643788051452447,0.4949282772049077,0.9266559816671931,1.6238448471544673,Panama
R32,,Spain,Czech Republic,0.901325257657607,0.0,0.09867474234239315,2.829832291484305,0.5953253560130667,Spain
R32,,Argentina,Uzbekistan,0.7952324930177448,0.0,0.20476750698225532,2.190917541447396,0.742436351130465,Argentina
R32,,England,Austria,0.6960669894863232,0.0,0.3039330105136768,1.8595497079522663,0.9375840737544737,England
R32,,Netherlands,Algeria,0.6149634732629495,0.0,0.3850365267370506,1.7263754063224201,1.149725562478893,Netherlands
R32,,Germany,Australia,0.6221078531511436,0.0,0.3778921468488565,1.7700552611740432,1.1758236644836217,Germany
R32,,France,Panama,0.7731249139802291,0.0,0.22687508601977102,2.289952966858318,0.874046975580395,France
R32,,Morocco,Norway,0.5473502577983509,0.0,0.4526497422016491,1.505132835504706,1.2197577492697376,Morocco
R32,,Mexico,United States,0.6078302016463137,0.0,0.39216979835368637,1.6891928288399263,1.1633007184022264,Mexico
R32,,Brazil,Cote d'Ivoire,0.666217196226339,0.0,0.333782803773661,1.9086196233474548,1.1119765167186673,Brazil
R32,,Ecuador,Senegal,0.4520678207704341,0.0,0.5479321792295659,1.2316803351902612,1.3436689643417505,Senegal
R32,,Japan,Egypt,0.6822521806539186,0.0,0.31774781934608154,1.7623917953974004,0.9199934527898127,Japan
R32,,Switzerland,Iran,0.4261422992455824,0.0,0.5738577007544176,1.1952363718864418,1.4481905266003006,Iran
R32,,Croatia,Uruguay,0.5390051732625669,0.0,0.4609948267374332,1.608946271201815,1.3428470622290667,Croatia
R32,,Canada,Colombia,0.43728866107656594,0.0,0.5627113389234342,1.1461700422315746,1.4466345383941506,Colombia
R32,,Portugal,South Korea,0.6200109277232239,0.0,0.37998907227677625,1.691730207337931,1.113869665470045,Portugal
R32,,Belgium,Turkiye,0.433043751286034,0.0,0.5669562487139661,1.3684951080213739,1.734544518245582,Turkiye
R16,,Spain,Turkiye,0.6749341781691274,0.0,0.32506582183087274,1.8764711005472443,1.0104094232899214,Spain
R16,,Argentina,Portugal,0.6194603010180606,0.0,0.3805396989819395,1.778809632461881,1.1604778833785072,Argentina
R16,,England,Colombia,0.5842654653403299,0.0,0.41573453465967014,1.610040791999933,1.1600810619123911,England
R16,,Netherlands,Croatia,0.5365151715832012,0.0,0.46348482841679894,1.6425214142504816,1.4119896276553685,Netherlands
R16,,Germany,Iran,0.6083445077022547,0.0,0.3916554922977453,1.6548254367034985,1.1263954837527748,Germany
